h-5,h-5 href,truncate href,mx-2,text-yellow,text-olive,text-pink
481. Magical String,https://leetcode.com/problems/magical-string,,49.5%,Medium,,
482. License Key Formatting,https://leetcode.com/problems/license-key-formatting,,43.1%,,Easy,
483. Smallest Good Base,https://leetcode.com/problems/smallest-good-base,,37.8%,,,Hard
484. Find Permutation,https://leetcode.com/problems/find-permutation,https://leetcode.com/problems/find-permutation/solution,64.3%,Medium,,
485. Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones,https://leetcode.com/problems/max-consecutive-ones/solution,54.9%,,Easy,
486. Predict the Winner,https://leetcode.com/problems/predict-the-winner,https://leetcode.com/problems/predict-the-winner/solution,50.1%,Medium,,
487. Max Consecutive Ones II,https://leetcode.com/problems/max-consecutive-ones-ii,https://leetcode.com/problems/max-consecutive-ones-ii/solution,48.8%,Medium,,
488. Zuma Game,https://leetcode.com/problems/zuma-game,,36.6%,,,Hard
489. Robot Room Cleaner,https://leetcode.com/problems/robot-room-cleaner,https://leetcode.com/problems/robot-room-cleaner/solution,75.4%,,,Hard
490. The Maze,https://leetcode.com/problems/the-maze,https://leetcode.com/problems/the-maze/solution,54.5%,Medium,,
491. Increasing Subsequences,https://leetcode.com/problems/increasing-subsequences,,50.5%,Medium,,
492. Construct the Rectangle,https://leetcode.com/problems/construct-the-rectangle,,52.4%,,Easy,
493. Reverse Pairs,https://leetcode.com/problems/reverse-pairs,,29.7%,,,Hard
494. Target Sum,https://leetcode.com/problems/target-sum,https://leetcode.com/problems/target-sum/solution,45.3%,Medium,,
495. Teemo Attacking,https://leetcode.com/problems/teemo-attacking,https://leetcode.com/problems/teemo-attacking/solution,56.8%,,Easy,
496. Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,https://leetcode.com/problems/next-greater-element-i/solution,69.6%,,Easy,
497. Random Point in Non-overlapping Rectangles,https://leetcode.com/problems/random-point-in-non-overlapping-rectangles,,39.1%,Medium,,
498. Diagonal Traverse,https://leetcode.com/problems/diagonal-traverse,https://leetcode.com/problems/diagonal-traverse/solution,55.9%,Medium,,
499. The Maze III,https://leetcode.com/problems/the-maze-iii,,44.9%,,,Hard
500. Keyboard Row,https://leetcode.com/problems/keyboard-row,,67.7%,,Easy,
501. Find Mode in Binary Search Tree,https://leetcode.com/problems/find-mode-in-binary-search-tree,,46.8%,,Easy,
502. IPO,https://leetcode.com/problems/ipo,https://leetcode.com/problems/ipo/solution,43.8%,,,Hard
503. Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,https://leetcode.com/problems/next-greater-element-ii/solution,61.7%,Medium,,
504. Base 7,https://leetcode.com/problems/base-7,,47.4%,,Easy,
505. The Maze II,https://leetcode.com/problems/the-maze-ii,https://leetcode.com/problems/the-maze-ii/solution,51.1%,Medium,,
506. Relative Ranks,https://leetcode.com/problems/relative-ranks,,56.1%,,Easy,
507. Perfect Number,https://leetcode.com/problems/perfect-number,https://leetcode.com/problems/perfect-number/solution,37.5%,,Easy,
508. Most Frequent Subtree Sum,https://leetcode.com/problems/most-frequent-subtree-sum,,62.4%,Medium,,
509. Fibonacci Number,https://leetcode.com/problems/fibonacci-number,https://leetcode.com/problems/fibonacci-number/solution,68.1%,,Easy,
510. Inorder Successor in BST II,https://leetcode.com/problems/inorder-successor-in-bst-ii,https://leetcode.com/problems/inorder-successor-in-bst-ii/solution,61.5%,Medium,,
511. Game Play Analysis I,https://leetcode.com/problems/game-play-analysis-i,,80.9%,,Easy,
512. Game Play Analysis II,https://leetcode.com/problems/game-play-analysis-ii,,54.5%,,Easy,
513. Find Bottom Left Tree Value,https://leetcode.com/problems/find-bottom-left-tree-value,,64.9%,Medium,,
514. Freedom Trail,https://leetcode.com/problems/freedom-trail,,46.0%,,,Hard
515. Find Largest Value in Each Tree Row,https://leetcode.com/problems/find-largest-value-in-each-tree-row,,64.3%,Medium,,
516. Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,,59.0%,Medium,,
517. Super Washing Machines,https://leetcode.com/problems/super-washing-machines,,39.3%,,,Hard
518. Coin Change 2,https://leetcode.com/problems/coin-change-2,https://leetcode.com/problems/coin-change-2/solution,56.9%,Medium,,
519. Random Flip Matrix,https://leetcode.com/problems/random-flip-matrix,,38.9%,Medium,,
520. Detect Capital,https://leetcode.com/problems/detect-capital,https://leetcode.com/problems/detect-capital/solution,55.7%,,Easy,
521. Longest Uncommon Subsequence I,https://leetcode.com/problems/longest-uncommon-subsequence-i,https://leetcode.com/problems/longest-uncommon-subsequence-i/solution,60.0%,,Easy,
522. Longest Uncommon Subsequence II,https://leetcode.com/problems/longest-uncommon-subsequence-ii,https://leetcode.com/problems/longest-uncommon-subsequence-ii/solution,40.1%,Medium,,
523. Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum,,27.0%,Medium,,
524. Longest Word in Dictionary through Deleting,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting/solution,50.8%,Medium,,
525. Contiguous Array,https://leetcode.com/problems/contiguous-array,https://leetcode.com/problems/contiguous-array/solution,46.2%,Medium,,
526. Beautiful Arrangement,https://leetcode.com/problems/beautiful-arrangement,https://leetcode.com/problems/beautiful-arrangement/solution,64.2%,Medium,,
527. Word Abbreviation,https://leetcode.com/problems/word-abbreviation,https://leetcode.com/problems/word-abbreviation/solution,58.0%,,,Hard
528. Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight,https://leetcode.com/problems/random-pick-with-weight/solution,46.0%,Medium,,
529. Minesweeper,https://leetcode.com/problems/minesweeper,,64.3%,Medium,,
530. Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,,56.1%,,Easy,
531. Lonely Pixel I,https://leetcode.com/problems/lonely-pixel-i,,60.6%,Medium,,
532. K-diff Pairs in an Array,https://leetcode.com/problems/k-diff-pairs-in-an-array,https://leetcode.com/problems/k-diff-pairs-in-an-array/solution,39.9%,Medium,,
533. Lonely Pixel II,https://leetcode.com/problems/lonely-pixel-ii,,48.4%,Medium,,
534. Game Play Analysis III,https://leetcode.com/problems/game-play-analysis-iii,,81.7%,Medium,,
535. Encode and Decode TinyURL,https://leetcode.com/problems/encode-and-decode-tinyurl,https://leetcode.com/problems/encode-and-decode-tinyurl/solution,83.4%,Medium,,
536. Construct Binary Tree from String,https://leetcode.com/problems/construct-binary-tree-from-string,https://leetcode.com/problems/construct-binary-tree-from-string/solution,55.5%,Medium,,
537. Complex Number Multiplication,https://leetcode.com/problems/complex-number-multiplication,https://leetcode.com/problems/complex-number-multiplication/solution,71.1%,Medium,,
538. Convert BST to Greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree,https://leetcode.com/problems/convert-bst-to-greater-tree/solution,62.6%,Medium,,
539. Minimum Time Difference,https://leetcode.com/problems/minimum-time-difference,,54.0%,Medium,,
540. Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,https://leetcode.com/problems/single-element-in-a-sorted-array/solution,58.7%,Medium,,
541. Reverse String II,https://leetcode.com/problems/reverse-string-ii,https://leetcode.com/problems/reverse-string-ii/solution,50.1%,,Easy,
542. 01 Matrix,https://leetcode.com/problems/01-matrix,https://leetcode.com/problems/01-matrix/solution,43.5%,Medium,,
543. Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,https://leetcode.com/problems/diameter-of-binary-tree/solution,53.7%,,Easy,
544. Output Contest Matches,https://leetcode.com/problems/output-contest-matches,,76.4%,Medium,,
545. Boundary of Binary Tree,https://leetcode.com/problems/boundary-of-binary-tree,https://leetcode.com/problems/boundary-of-binary-tree/solution,42.8%,Medium,,
546. Remove Boxes,https://leetcode.com/problems/remove-boxes,https://leetcode.com/problems/remove-boxes/solution,47.3%,,,Hard
547. Number of Provinces,https://leetcode.com/problems/number-of-provinces,https://leetcode.com/problems/number-of-provinces/solution,62.5%,Medium,,
548. Split Array with Equal Sum,https://leetcode.com/problems/split-array-with-equal-sum,https://leetcode.com/problems/split-array-with-equal-sum/solution,49.8%,,,Hard
549. Binary Tree Longest Consecutive Sequence II,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii/solution,48.6%,Medium,,
550. Game Play Analysis IV,https://leetcode.com/problems/game-play-analysis-iv,,44.2%,Medium,,
551. Student Attendance Record I,https://leetcode.com/problems/student-attendance-record-i,https://leetcode.com/problems/student-attendance-record-i/solution,47.4%,,Easy,
552. Student Attendance Record II,https://leetcode.com/problems/student-attendance-record-ii,https://leetcode.com/problems/student-attendance-record-ii/solution,40.3%,,,Hard
553. Optimal Division,https://leetcode.com/problems/optimal-division,https://leetcode.com/problems/optimal-division/solution,58.8%,Medium,,
554. Brick Wall,https://leetcode.com/problems/brick-wall,https://leetcode.com/problems/brick-wall/solution,52.5%,Medium,,
555. Split Concatenated Strings,https://leetcode.com/problems/split-concatenated-strings,,43.2%,Medium,,
556. Next Greater Element III,https://leetcode.com/problems/next-greater-element-iii,https://leetcode.com/problems/next-greater-element-iii/solution,33.6%,Medium,,
557. Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii,https://leetcode.com/problems/reverse-words-in-a-string-iii/solution,78.0%,,Easy,
558. Logical OR of Two Binary Grids Represented as Quad-Trees,https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees,,47.1%,Medium,,
559. Maximum Depth of N-ary Tree,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/solution,70.9%,,Easy,
560. Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,https://leetcode.com/problems/subarray-sum-equals-k/solution,44.1%,Medium,,
561. Array Partition I,https://leetcode.com/problems/array-partition-i,,75.4%,,Easy,
562. Longest Line of Consecutive One in Matrix,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix/solution,48.9%,Medium,,
563. Binary Tree Tilt,https://leetcode.com/problems/binary-tree-tilt,https://leetcode.com/problems/binary-tree-tilt/solution,58.3%,,Easy,
564. Find the Closest Palindrome,https://leetcode.com/problems/find-the-closest-palindrome,,21.1%,,,Hard
565. Array Nesting,https://leetcode.com/problems/array-nesting,https://leetcode.com/problems/array-nesting/solution,56.2%,Medium,,
566. Reshape the Matrix,https://leetcode.com/problems/reshape-the-matrix,https://leetcode.com/problems/reshape-the-matrix/solution,62.3%,,Easy,
567. Permutation in String,https://leetcode.com/problems/permutation-in-string,https://leetcode.com/problems/permutation-in-string/solution,45.0%,Medium,,
568. Maximum Vacation Days,https://leetcode.com/problems/maximum-vacation-days,https://leetcode.com/problems/maximum-vacation-days/solution,44.2%,,,Hard
569. Median Employee Salary,https://leetcode.com/problems/median-employee-salary,,66.6%,,,Hard
570. Managers with at Least 5 Direct Reports,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/solution,67.0%,Medium,,
571. Find Median Given Frequency of Numbers,https://leetcode.com/problems/find-median-given-frequency-of-numbers,,44.7%,,,Hard
572. Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,,45.2%,,Easy,
573. Squirrel Simulation,https://leetcode.com/problems/squirrel-simulation,https://leetcode.com/problems/squirrel-simulation/solution,54.7%,Medium,,
574. Winning Candidate,https://leetcode.com/problems/winning-candidate,https://leetcode.com/problems/winning-candidate/solution,57.7%,Medium,,
575. Distribute Candies,https://leetcode.com/problems/distribute-candies,https://leetcode.com/problems/distribute-candies/solution,65.5%,,Easy,
576. Out of Boundary Paths,https://leetcode.com/problems/out-of-boundary-paths,https://leetcode.com/problems/out-of-boundary-paths/solution,40.0%,Medium,,
577. Employee Bonus,https://leetcode.com/problems/employee-bonus,https://leetcode.com/problems/employee-bonus/solution,74.7%,,Easy,
578. Get Highest Answer Rate Question,https://leetcode.com/problems/get-highest-answer-rate-question,,43.0%,Medium,,
579. Find Cumulative Salary of an Employee,https://leetcode.com/problems/find-cumulative-salary-of-an-employee,https://leetcode.com/problems/find-cumulative-salary-of-an-employee/solution,42.2%,,,Hard
580. Count Student Number in Departments,https://leetcode.com/problems/count-student-number-in-departments,https://leetcode.com/problems/count-student-number-in-departments/solution,56.2%,Medium,,
581. Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/solution,34.1%,Medium,,
582. Kill Process,https://leetcode.com/problems/kill-process,https://leetcode.com/problems/kill-process/solution,66.5%,Medium,,
583. Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings,https://leetcode.com/problems/delete-operation-for-two-strings/solution,55.3%,Medium,,
584. Find Customer Referee,https://leetcode.com/problems/find-customer-referee,https://leetcode.com/problems/find-customer-referee/solution,76.3%,,Easy,
585. Investments in 2016,https://leetcode.com/problems/investments-in-2016,https://leetcode.com/problems/investments-in-2016/solution,55.5%,Medium,,
586. Customer Placing the Largest Number of Orders,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders/solution,74.9%,,Easy,
587. Erect the Fence,https://leetcode.com/problems/erect-the-fence,https://leetcode.com/problems/erect-the-fence/solution,43.2%,,,Hard
588. Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system,https://leetcode.com/problems/design-in-memory-file-system/solution,48.3%,,,Hard
589. N-ary Tree Preorder Traversal,https://leetcode.com/problems/n-ary-tree-preorder-traversal,https://leetcode.com/problems/n-ary-tree-preorder-traversal/solution,75.8%,,Easy,
590. N-ary Tree Postorder Traversal,https://leetcode.com/problems/n-ary-tree-postorder-traversal,https://leetcode.com/problems/n-ary-tree-postorder-traversal/solution,75.9%,,Easy,
591. Tag Validator,https://leetcode.com/problems/tag-validator,https://leetcode.com/problems/tag-validator/solution,36.2%,,,Hard
592. Fraction Addition and Subtraction,https://leetcode.com/problems/fraction-addition-and-subtraction,https://leetcode.com/problems/fraction-addition-and-subtraction/solution,51.6%,Medium,,
593. Valid Square,https://leetcode.com/problems/valid-square,https://leetcode.com/problems/valid-square/solution,43.8%,Medium,,
594. Longest Harmonious Subsequence,https://leetcode.com/problems/longest-harmonious-subsequence,https://leetcode.com/problems/longest-harmonious-subsequence/solution,52.5%,,Easy,
595. Big Countries,https://leetcode.com/problems/big-countries,https://leetcode.com/problems/big-countries/solution,78.1%,,Easy,
596. Classes More Than 5 Students,https://leetcode.com/problems/classes-more-than-5-students,https://leetcode.com/problems/classes-more-than-5-students/solution,41.7%,,Easy,
597. Friend Requests I: Overall Acceptance Rate,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate/solution,42.6%,,Easy,
598. Range Addition II,https://leetcode.com/problems/range-addition-ii,https://leetcode.com/problems/range-addition-ii/solution,54.6%,,Easy,
599. Minimum Index Sum of Two Lists,https://leetcode.com/problems/minimum-index-sum-of-two-lists,https://leetcode.com/problems/minimum-index-sum-of-two-lists/solution,52.9%,,Easy,
600. Non-negative Integers without Consecutive Ones,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones/solution,38.6%,,,Hard
601. Human Traffic of Stadium,https://leetcode.com/problems/human-traffic-of-stadium,https://leetcode.com/problems/human-traffic-of-stadium/solution,49.3%,,,Hard
602. Friend Requests II: Who Has the Most Friends,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends,,60.5%,Medium,,
603. Consecutive Available Seats,https://leetcode.com/problems/consecutive-available-seats,https://leetcode.com/problems/consecutive-available-seats/solution,67.7%,,Easy,
604. Design Compressed String Iterator,https://leetcode.com/problems/design-compressed-string-iterator,https://leetcode.com/problems/design-compressed-string-iterator/solution,39.0%,,Easy,
605. Can Place Flowers,https://leetcode.com/problems/can-place-flowers,https://leetcode.com/problems/can-place-flowers/solution,33.0%,,Easy,
606. Construct String from Binary Tree,https://leetcode.com/problems/construct-string-from-binary-tree,https://leetcode.com/problems/construct-string-from-binary-tree/solution,57.4%,,Easy,
607. Sales Person,https://leetcode.com/problems/sales-person,https://leetcode.com/problems/sales-person/solution,67.9%,,Easy,
608. Tree Node,https://leetcode.com/problems/tree-node,https://leetcode.com/problems/tree-node/solution,71.3%,Medium,,
609. Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system,https://leetcode.com/problems/find-duplicate-file-in-system/solution,63.7%,Medium,,
610. Triangle Judgement,https://leetcode.com/problems/triangle-judgement,https://leetcode.com/problems/triangle-judgement/solution,70.7%,,Easy,
611. Valid Triangle Number,https://leetcode.com/problems/valid-triangle-number,https://leetcode.com/problems/valid-triangle-number/solution,49.6%,Medium,,
612. Shortest Distance in a Plane,https://leetcode.com/problems/shortest-distance-in-a-plane,https://leetcode.com/problems/shortest-distance-in-a-plane/solution,63.0%,Medium,,
613. Shortest Distance in a Line,https://leetcode.com/problems/shortest-distance-in-a-line,https://leetcode.com/problems/shortest-distance-in-a-line/solution,81.0%,,Easy,
614. Second Degree Follower,https://leetcode.com/problems/second-degree-follower,,35.2%,Medium,,
615. Average Salary: Departments VS Company,https://leetcode.com/problems/average-salary-departments-vs-company,https://leetcode.com/problems/average-salary-departments-vs-company/solution,56.0%,,,Hard
616. Add Bold Tag in String,https://leetcode.com/problems/add-bold-tag-in-string,,47.8%,Medium,,
617. Merge Two Binary Trees,https://leetcode.com/problems/merge-two-binary-trees,https://leetcode.com/problems/merge-two-binary-trees/solution,77.6%,,Easy,
618. Students Report By Geography,https://leetcode.com/problems/students-report-by-geography,https://leetcode.com/problems/students-report-by-geography/solution,63.0%,,,Hard
619. Biggest Single Number,https://leetcode.com/problems/biggest-single-number,https://leetcode.com/problems/biggest-single-number/solution,47.2%,,Easy,
620. Not Boring Movies,https://leetcode.com/problems/not-boring-movies,https://leetcode.com/problems/not-boring-movies/solution,72.3%,,Easy,
621. Task Scheduler,https://leetcode.com/problems/task-scheduler,https://leetcode.com/problems/task-scheduler/solution,54.3%,Medium,,
622. Design Circular Queue,https://leetcode.com/problems/design-circular-queue,https://leetcode.com/problems/design-circular-queue/solution,48.5%,Medium,,
623. Add One Row to Tree,https://leetcode.com/problems/add-one-row-to-tree,https://leetcode.com/problems/add-one-row-to-tree/solution,53.8%,Medium,,
624. Maximum Distance in Arrays,https://leetcode.com/problems/maximum-distance-in-arrays,https://leetcode.com/problems/maximum-distance-in-arrays/solution,41.5%,Medium,,
625. Minimum Factorization,https://leetcode.com/problems/minimum-factorization,https://leetcode.com/problems/minimum-factorization/solution,33.2%,Medium,,
626. Exchange Seats,https://leetcode.com/problems/exchange-seats,https://leetcode.com/problems/exchange-seats/solution,68.9%,Medium,,
627. Swap Salary,https://leetcode.com/problems/swap-salary,https://leetcode.com/problems/swap-salary/solution,79.9%,,Easy,
628. Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers,https://leetcode.com/problems/maximum-product-of-three-numbers/solution,46.8%,,Easy,
629. K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array,https://leetcode.com/problems/k-inverse-pairs-array/solution,37.2%,,,Hard
630. Course Schedule III,https://leetcode.com/problems/course-schedule-iii,https://leetcode.com/problems/course-schedule-iii/solution,35.6%,,,Hard
631. Design Excel Sum Formula,https://leetcode.com/problems/design-excel-sum-formula,https://leetcode.com/problems/design-excel-sum-formula/solution,40.6%,,,Hard
632. Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/solution,58.0%,,,Hard
633. Sum of Square Numbers,https://leetcode.com/problems/sum-of-square-numbers,https://leetcode.com/problems/sum-of-square-numbers/solution,34.5%,Medium,,
634. Find the Derangement of An Array,https://leetcode.com/problems/find-the-derangement-of-an-array,https://leetcode.com/problems/find-the-derangement-of-an-array/solution,41.1%,Medium,,
635. Design Log Storage System,https://leetcode.com/problems/design-log-storage-system,https://leetcode.com/problems/design-log-storage-system/solution,62.2%,Medium,,
636. Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions,,59.7%,Medium,,
637. Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/solution,68.3%,,Easy,
638. Shopping Offers,https://leetcode.com/problems/shopping-offers,https://leetcode.com/problems/shopping-offers/solution,54.5%,Medium,,
639. Decode Ways II,https://leetcode.com/problems/decode-ways-ii,https://leetcode.com/problems/decode-ways-ii/solution,30.3%,,,Hard
640. Solve the Equation,https://leetcode.com/problems/solve-the-equation,https://leetcode.com/problems/solve-the-equation/solution,43.3%,Medium,,
641. Design Circular Deque,https://leetcode.com/problems/design-circular-deque,,57.2%,Medium,,
642. Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system,,48.1%,,,Hard
643. Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i,https://leetcode.com/problems/maximum-average-subarray-i/solution,43.4%,,Easy,
644. Maximum Average Subarray II,https://leetcode.com/problems/maximum-average-subarray-ii,https://leetcode.com/problems/maximum-average-subarray-ii/solution,35.1%,,,Hard
645. Set Mismatch,https://leetcode.com/problems/set-mismatch,https://leetcode.com/problems/set-mismatch/solution,41.2%,,Easy,
646. Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain,https://leetcode.com/problems/maximum-length-of-pair-chain/solution,55.4%,Medium,,
647. Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,https://leetcode.com/problems/palindromic-substrings/solution,64.3%,Medium,,
648. Replace Words,https://leetcode.com/problems/replace-words,https://leetcode.com/problems/replace-words/solution,61.8%,Medium,,
649. Dota2 Senate,https://leetcode.com/problems/dota2-senate,,39.8%,Medium,,
650. 2 Keys Keyboard,https://leetcode.com/problems/2-keys-keyboard,https://leetcode.com/problems/2-keys-keyboard/solution,52.1%,Medium,,
651. 4 Keys Keyboard,https://leetcode.com/problems/4-keys-keyboard,,54.0%,Medium,,
652. Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees,,55.5%,Medium,,
653. Two Sum IV - Input is a BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/solution,58.6%,,Easy,
654. Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree,https://leetcode.com/problems/maximum-binary-tree/solution,83.3%,Medium,,
655. Print Binary Tree,https://leetcode.com/problems/print-binary-tree,,59.2%,Medium,,
656. Coin Path,https://leetcode.com/problems/coin-path,https://leetcode.com/problems/coin-path/solution,31.2%,,,Hard
657. Robot Return to Origin,https://leetcode.com/problems/robot-return-to-origin,https://leetcode.com/problems/robot-return-to-origin/solution,75.0%,,Easy,
658. Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,https://leetcode.com/problems/find-k-closest-elements/solution,44.3%,Medium,,
659. Split Array into Consecutive Subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences/solution,45.5%,Medium,,
660. Remove 9,https://leetcode.com/problems/remove-9,https://leetcode.com/problems/remove-9/solution,55.4%,,,Hard
661. Image Smoother,https://leetcode.com/problems/image-smoother,,54.0%,,Easy,
662. Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,https://leetcode.com/problems/maximum-width-of-binary-tree/solution,40.2%,Medium,,
663. Equal Tree Partition,https://leetcode.com/problems/equal-tree-partition,https://leetcode.com/problems/equal-tree-partition/solution,41.1%,Medium,,
664. Strange Printer,https://leetcode.com/problems/strange-printer,,45.4%,,,Hard
665. Non-decreasing Array,https://leetcode.com/problems/non-decreasing-array,https://leetcode.com/problems/non-decreasing-array/solution,21.4%,Medium,,
666. Path Sum IV,https://leetcode.com/problems/path-sum-iv,https://leetcode.com/problems/path-sum-iv/solution,58.5%,Medium,,
667. Beautiful Arrangement II,https://leetcode.com/problems/beautiful-arrangement-ii,https://leetcode.com/problems/beautiful-arrangement-ii/solution,59.3%,Medium,,
668. Kth Smallest Number in Multiplication Table,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/solution,50.9%,,,Hard
669. Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree,https://leetcode.com/problems/trim-a-binary-search-tree/solution,64.6%,Medium,,
670. Maximum Swap,https://leetcode.com/problems/maximum-swap,,47.3%,Medium,,
671. Second Minimum Node In a Binary Tree,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/solution,43.5%,,Easy,
672. Bulb Switcher II,https://leetcode.com/problems/bulb-switcher-ii,,50.8%,Medium,,
673. Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,,40.6%,Medium,,
674. Longest Continuous Increasing Subsequence,https://leetcode.com/problems/longest-continuous-increasing-subsequence,https://leetcode.com/problems/longest-continuous-increasing-subsequence/solution,48.2%,,Easy,
675. Cut Off Trees for Golf Event,https://leetcode.com/problems/cut-off-trees-for-golf-event,,35.5%,,,Hard
676. Implement Magic Dictionary,https://leetcode.com/problems/implement-magic-dictionary,,56.5%,Medium,,
677. Map Sum Pairs,https://leetcode.com/problems/map-sum-pairs,https://leetcode.com/problems/map-sum-pairs/solution,57.0%,Medium,,
678. Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string,https://leetcode.com/problems/valid-parenthesis-string/solution,33.0%,Medium,,
679. 24 Game,https://leetcode.com/problems/24-game,,48.6%,,,Hard
680. Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii,,38.5%,,Easy,
681. Next Closest Time,https://leetcode.com/problems/next-closest-time,,46.5%,Medium,,
682. Baseball Game,https://leetcode.com/problems/baseball-game,https://leetcode.com/problems/baseball-game/solution,69.3%,,Easy,
683. K Empty Slots,https://leetcode.com/problems/k-empty-slots,,36.7%,,,Hard
684. Redundant Connection,https://leetcode.com/problems/redundant-connection,https://leetcode.com/problems/redundant-connection/solution,61.0%,Medium,,
685. Redundant Connection II,https://leetcode.com/problems/redundant-connection-ii,,33.6%,,,Hard
686. Repeated String Match,https://leetcode.com/problems/repeated-string-match,,33.5%,Medium,,
687. Longest Univalue Path,https://leetcode.com/problems/longest-univalue-path,https://leetcode.com/problems/longest-univalue-path/solution,39.2%,Medium,,
688. Knight Probability in Chessboard,https://leetcode.com/problems/knight-probability-in-chessboard,https://leetcode.com/problems/knight-probability-in-chessboard/solution,51.5%,Medium,,
689. Maximum Sum of 3 Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/solution,48.4%,,,Hard
690. Employee Importance,https://leetcode.com/problems/employee-importance,https://leetcode.com/problems/employee-importance/solution,63.6%,Medium,,
691. Stickers to Spell Word,https://leetcode.com/problems/stickers-to-spell-word,,46.7%,,,Hard
692. Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,,54.2%,Medium,,
693. Binary Number with Alternating Bits,https://leetcode.com/problems/binary-number-with-alternating-bits,https://leetcode.com/problems/binary-number-with-alternating-bits/solution,60.7%,,Easy,
694. Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands,https://leetcode.com/problems/number-of-distinct-islands/solution,59.5%,Medium,,
695. Max Area of Island,https://leetcode.com/problems/max-area-of-island,https://leetcode.com/problems/max-area-of-island/solution,69.2%,Medium,,
